bin,TP,FN,FP,TN,precision,recall,FPR,bin_mean,bin_min,bin_max,bin_size,experiment,k,l,s,confidence_level,masking,classifier
8,73140327,193010,66658356,8314,0.5231832334214479,0.9973680455861432,0.9998752900062357,0.22937800000000003,0.210897,0.243761,11,variable_conf,23,23,5,0.05,unmasked,k=23 conf=0.05
9,139902732,97275,66658356,8314,0.6772947090596271,0.9993051786061696,0.9998752900062357,0.7286633333333332,0.263022,1.0,21,variable_conf,23,23,5,0.05,unmasked,k=23 conf=0.05
0,66666285,385,44076031,22590639,0.601994679251606,0.9999942250002888,0.6611404319429784,0.0,0.0,0.0,10,variable_conf,26,26,6,0.05,unmasked,k=26 conf=0.05
1,96174360,17158979,44076031,22590639,0.6857332754245227,0.8485972516877844,0.6611404319429784,0.0035288890588235297,0.00014350299999999998,0.00916565,17,variable_conf,26,26,6,0.05,unmasked,k=26 conf=0.05
2,59078608,7588062,44076031,22590639,0.5727188672532701,0.8861790756910463,0.6611404319429784,0.01330993,0.0101878,0.0177122,10,variable_conf,26,26,6,0.05,unmasked,k=26 conf=0.05
3,50234816,3098520,44076031,22590639,0.5326515199253804,0.9419027529048624,0.6611404319429784,0.02454185,0.0200167,0.029517900000000007,8,variable_conf,26,26,6,0.05,unmasked,k=26 conf=0.05
4,49948888,3384448,44076031,22590639,0.5312303220383524,0.9365416031729198,0.6611404319429784,0.037567175,0.030677,0.0494626,8,variable_conf,26,26,6,0.05,unmasked,k=26 conf=0.05
5,44507083,8826253,44076031,22590639,0.5024330370684418,0.8345077645246117,0.6611404319429784,0.08356630000000001,0.057671000000000014,0.0987984,8,variable_conf,26,26,6,0.05,unmasked,k=26 conf=0.05
6,58090668,15242669,44076031,22590639,0.5685871087995121,0.7921454331200011,0.6611404319429784,0.12374136363636362,0.109331,0.145727,11,variable_conf,26,26,6,0.05,unmasked,k=26 conf=0.05
7,28423933,11576069,44076031,22590639,0.3920544429511717,0.7105982894700855,0.6611404319429784,0.17552316666666667,0.156619,0.197292,6,variable_conf,26,26,6,0.05,unmasked,k=26 conf=0.05
